word,visual_mean,visual_sd,visual_n,auditory_mean,auditory_sd,auditory_n,scale
croche-pied,45.522,36.99,24,24.043,31.583,24,0-100_VAS
crocodile,82.64,18.4,23,32.304,29.424,23,0-100_VAS
crosse,54,31.89,24,24.5,25.785,24,0-100_VAS
croupe,27.414,33.329,28,14.679,25.709,28,0-100_VAS
croyance,56.593,34.292,26,45.815,38.57,27,0-100_VAS
cruauté,58.538,38.324,26,47.333,42.295,27,0-100_VAS
cruche,67.107,25.006,28,39.345,33.285,28,0-100_VAS
crudité,77.28,26.047,26,41.519,35.044,27,0-100_VAS
crypte,54.286,34.952,28,22.862,29.02,28,0-100_VAS
crâne,83.714,16.968,26,20.815,27.2,27,0-100_VAS
crème,80.231,22.897,24,16.333,21.751,24,0-100_VAS
créature,71.423,26.308,26,35.63,34.453,27,0-100_VAS
crédit,45.043,33.112,23,18.522,31.51,23,0-100_VAS
créole,57.577,34.252,26,69.778,27.27,26,0-100_VAS
crépuscule,74.333,32.84,26,9.538,15.195,26,0-100_VAS
crêpe,82.958,25.144,23,33.783,33.194,23,0-100_VAS
crête,61.56,30.436,23,28.045,32.214,23,0-100_VAS
cube,81.667,21.204,24,17.875,27.39,24,0-100_VAS
cueillette,68.154,29.13,26,24.37,31.634,27,0-100_VAS
cuillère,87.5,18.034,24,42.667,34.778,24,0-100_VAS
cuir,76.786,23.128,28,36.379,34.586,28,0-100_VAS
cuisine,86.84,19.891,24,58.6,38.386,25,0-100_VAS
cuisinière,79.292,24.804,26,37.615,35.853,27,0-100_VAS
cuisse,78.087,25.678,23,8.565,18.759,23,0-100_VAS
cuisson,77.44,28.066,26,50.333,38.955,27,0-100_VAS
culot,42.966,35.291,28,35.321,35.025,28,0-100_VAS
culture,65.654,31.071,26,50.654,32.812,26,0-100_VAS
cumul,32.083,36.012,26,19.038,26.119,27,0-100_VAS
curseur,80.818,21.902,24,23.609,30.95,24,0-100_VAS
cuvée,43.154,34.896,24,23.542,29.508,24,0-100_VAS
